WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:09,060 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:13,503 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:15,029 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:19,213 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:19,239 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-17'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:19,771 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:20,069 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:26,001 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:26,055 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:26,080 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:26,101 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:33,670 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:35,671 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:43,364 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:43,389 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-17'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:44,516 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:44,839 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:51,035 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:51,059 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:51,079 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:51,098 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:55,169 | >>> WARNING: No available date within two weeks for 'GSS' on '2022-04-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:18:58,947 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:19:00,578 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:19:04,964 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:19:04,977 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-17'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:19:05,474 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:19:05,695 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:19:10,560 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:19:10,580 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:19:10,599 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:19:10,618 | >>> WARNING: No available date within two weeks for 'WSTL' on '2021-10-08'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:19:12,179 | >>> WARNING: No available date within two weeks for 'GSS' on '2022-04-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:19:15,252 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
